Country,Region,HappinessScore,happiness score,GDP,gdp,Social Support,social support,Life Expectancy,life expectancy,Freedom,freedom 
Gabon,Sub-Saharan Africa,49.58,4.958,14.59,1.459,7.38,0.738,39.6,0.396,34.3,0.343
Iraq,Middle East and North Africa,49.41,4.941,12.89,1.289,6.82,0.682,55.4,0.554,32.8,0.328
Guinea,Sub-Saharan Africa,48.91,4.891,8.48,0.848,5.66,0.566,27.5,0.275,33.4,0.334
Iran,Middle East and North Africa,48.88,4.888,14.1,1.41,7.41,0.741,64.2,0.642,28.1,0.281
Ghana,Sub-Saharan Africa,48.72,4.872,11.12,1.112,5.95,0.595,40.9,0.409,50,0.5
Turkey,Middle East and North Africa,47.44,4.744,17.07,1.707,8.65,0.865,70.2,0.702,20.9,0.209
Burkina Faso,Sub-Saharan Africa,46.7,4.67,7.79,0.779,5.65,0.565,32,0.32,38.2,0.382
Cambodia,Southeast Asia,46.4,4.64,10.19,1.019,7.32,0.732,50.5,0.505,74,0.74
Benin,Sub-Saharan Africa,46.23,4.623,9.32,0.932,0.64,0.064,33.5,0.335,47.9,0.479
Comoros,Sub-Saharan Africa,46.09,4.609,8.99,0.899,4.76,0.476,42.4,0.424,18.5,0.185
Uganda,Sub-Saharan Africa,46.03,4.603,7.77,0.777,8.75,0.875,41.8,0.418,40.2,0.402
Nigeria,Sub-Saharan Africa,45.52,4.552,10.79,1.079,7.32,0.732,30,0.3,44.4,0.444
Kenya,Sub-Saharan Africa,45.43,4.543,10.32,1.032,6.05,0.605,40.1,0.401,44,0.44
Tunisia,Middle East and North Africa,45.16,4.516,13.5,1.35,5.96,0.596,65.6,0.656,31.6,0.316
Pakistan,South Asia,45.16,4.516,10.49,1.049,4.13,0.413,37.4,0.374,44.8,0.448
Palestinian Territories,Middle East and North Africa,44.83,4.483,11.48,1.148,9.57,0.957,52.1,0.521,33.6,0.336
Mali,Sub-Saharan Africa,44.79,4.479,7.92,0.792,4.83,0.483,31.1,0.311,35,0.35
Namibia,Sub-Saharan Africa,44.59,4.459,12.92,1.292,8.77,0.877,35.4,0.354,38.4,0.384
Myanmar,Southeast Asia,43.94,4.394,10.38,1.038,8.29,0.829,49.1,0.491,51.3,0.513
Sri Lanka,South Asia,43.62,4.362,14.15,1.415,9.34,0.934,66,0.66,52.9,0.529
Madagascar,Sub-Saharan Africa,43.39,4.339,6.7,0.67,6.45,0.645,37.8,0.378,20.2,0.202
Egypt,Middle East and North Africa,42.88,4.288,13.88,1.388,7.32,0.732,54.8,0.548,46.9,0.469
Chad,Sub-Saharan Africa,42.51,4.251,6.62,0.662,5.06,0.506,22.5,0.225,18,0.18
Ethiopia,Sub-Saharan Africa,42.41,4.241,7.88,0.788,8.09,0.809,45.7,0.457,47.2,0.472
Yemen,Middle East and North Africa,41.97,4.197,6.91,0.691,10.43,1.043,38.4,0.384,33,0.33
Mauritania,Sub-Saharan Africa,41.53,4.153,11,1.1,8.65,0.865,45,0.45,30.4,0.304
Jordan,Middle East and North Africa,41.52,4.152,13.24,1.324,7.24,0.724,67.5,0.675,47.6,0.476
Togo,Sub-Saharan Africa,41.12,4.112,7.71,0.771,3.22,0.322,36,0.36,29.2,0.292
India,South Asia,37.77,3.777,11.67,1.167,3.76,0.376,47.1,0.471,64.7,0.647
Zambia,Sub-Saharan Africa,37.6,3.76,9.3,0.93,5.77,0.577,30.6,0.306,52.5,0.525
Malawi,Sub-Saharan Africa,37.5,3.75,6.48,0.648,2.79,0.279,38.8,0.388,47.7,0.477
Tanzania,Sub-Saharan Africa,37.02,3.702,8.48,0.848,5.97,0.597,42.5,0.425,57.8,0.578
Sierra Leone,Sub-Saharan Africa,35.74,3.574,6.86,0.686,4.16,0.416,27.3,0.273,38.7,0.387
Botswana,Sub-Saharan Africa,34.71,3.471,15.03,1.503,8.15,0.815,28,0.28,57.1,0.571
Rwanda,Sub-Saharan Africa,32.68,3.268,7.85,0.785,1.33,0.133,46.2,0.462,62.1,0.621
Zimbabwe,Sub-Saharan Africa,29.95,2.995,9.47,0.947,6.9,0.69,27,0.27,32.9,0.329
Lebanon,Middle East and North Africa,29.55,2.955,13.92,1.392,4.98,0.498,63.1,0.631,10.3,0.103
