Country name,Regional indicator,Happiness Score,GDP,Social Support,Life Expectancy,Freedom
Kazakhstan,Commonwealth of Independent States,6.152,1.23,1.103,0.527,0.573
Romania,Central and Eastern Europe,6.14,1.275,0.832,0.595,0.564
Kuwait,Middle East and North Africa,6.106,1.461,0.857,0.58,0.591
Serbia,Central and Eastern Europe,6.078,1.101,0.924,0.634,0.482
El Salvador,Latin America and Caribbean,6.061,0.845,0.675,0.565,0.615
Mauritius,Sub-Saharan Africa,6.049,1.178,0.996,0.574,0.59
Latvia,Central and Eastern Europe,6.032,1.285,1.047,0.587,0.405
Colombia,Latin America and Caribbean,6.012,1.021,0.866,0.615,0.554
Hungary,Central and Eastern Europe,5.992,1.301,1.083,0.615,0.454
Thailand,Southeast Asia,5.985,1.107,0.957,0.596,0.611
Nicaragua,Latin America and Caribbean,5.972,0.693,0.904,0.604,0.553
Japan,East Asia,5.94,1.389,0.949,0.838,0.504
Argentina,Latin America and Caribbean,5.929,1.162,0.98,0.646,0.544
Portugal,Western Europe,5.929,1.323,0.939,0.76,0.621
Honduras,Latin America and Caribbean,5.919,0.703,0.787,0.593,0.578
Croatia,Central and Eastern Europe,5.882,1.251,1.039,0.703,0.453
Philippines,Southeast Asia,5.88,0.853,0.828,0.426,0.651
South Korea,East Asia,5.845,1.403,0.758,0.801,0.353
Peru,Latin America and Caribbean,5.84,0.986,0.833,0.623,0.536
Bosnia and Herzegovina,Central and Eastern Europe,5.813,1.032,0.919,0.618,0.395
Moldova,Commonwealth of Independent States,5.766,0.985,0.888,0.542,0.536
Ecuador,Latin America and Caribbean,5.764,0.935,0.806,0.64,0.56
Kyrgyzstan,Commonwealth of Independent States,5.744,0.665,0.971,0.501,0.673
Greece,Western Europe,5.723,1.273,0.811,0.76,0.243
Bolivia,Latin America and Caribbean,5.716,0.842,0.782,0.486,0.6
Mongolia,East Asia,5.677,0.966,1.065,0.442,0.397
Paraguay,Latin America and Caribbean,5.653,0.983,0.97,0.549,0.602
Montenegro,Central and Eastern Europe,5.581,1.155,0.891,0.637,0.397
Dominican Republic,Latin America and Caribbean,5.545,1.106,0.879,0.555,0.581
North Cyprus,Western Europe,5.536,1.377,0.806,0.801,0.503
Belarus,Commonwealth of Independent States,5.534,1.124,1.007,0.56,0.326
Russia,Commonwealth of Independent States,5.477,1.241,0.992,0.511,0.409
Hong Kong S.A.R. of China,East Asia,5.477,1.525,0.841,0.893,0.408
Tajikistan,Commonwealth of Independent States,5.466,0.508,0.895,0.498,0.548
Vietnam,Southeast Asia,5.411,0.817,0.873,0.616,0.679
Libya,Middle East and North Africa,5.41,1.044,0.821,0.435,0.474
Malaysia,Southeast Asia,5.384,1.259,0.797,0.587,0.624
Indonesia,Southeast Asia,5.345,0.954,0.786,0.433,0.598
Congo (Brazzaville),Sub-Saharan Africa,5.342,0.518,0.392,0.307,0.381
China,East Asia,5.339,1.061,0.785,0.665,0.636
Ivory Coast,Sub-Saharan Africa,5.306,0.669,0.409,0.052,0.438
Armenia,Commonwealth of Independent States,5.283,0.996,0.758,0.585,0.54
Nepal,South Asia,5.269,0.519,0.702,0.496,0.488
Bulgaria,Central and Eastern Europe,5.266,1.181,1.055,0.583,0.494
Maldives,South Asia,5.198,1.115,1.015,0.697,0.575
Azerbaijan,Commonwealth of Independent States,5.171,1.025,0.841,0.541,0.526
Cameroon,Sub-Saharan Africa,5.142,0.543,0.556,0.159,0.425
Senegal,Sub-Saharan Africa,5.132,0.518,0.558,0.357,0.381
Albania,Central and Eastern Europe,5.117,1.008,0.529,0.646,0.491
North Macedonia,Central and Eastern Europe,5.101,1.068,0.772,0.535,0.45
Ghana,Sub-Saharan Africa,5.088,0.68,0.595,0.287,0.517
Niger,Sub-Saharan Africa,5.074,0.162,0.402,0.167,0.516
Turkmenistan,Commonwealth of Independent States,5.066,1.046,1.172,0.439,0.602
Gambia,Sub-Saharan Africa,5.051,0.367,0.511,0.21,0.384
Benin,Sub-Saharan Africa,5.045,0.507,0.058,0.196,0.457
Laos,Southeast Asia,5.03,0.808,0.598,0.33,0.643
Bangladesh,South Asia,5.025,0.635,0.52,0.514,0.603
Guinea,Sub-Saharan Africa,4.984,0.42,0.399,0.206,0.384
South Africa,Sub-Saharan Africa,4.956,0.967,0.895,0.265,0.447
Turkey,Middle East and North Africa,4.948,1.26,0.809,0.59,0.236
Pakistan,South Asia,4.934,0.637,0.423,0.322,0.418
Morocco,Middle East and North Africa,4.918,0.792,0.219,0.558,0.477
Venezuela,Latin America and Caribbean,4.892,0.852,0.897,0.574,0.284
Georgia,Commonwealth of Independent States,4.891,1.03,0.47,0.498,0.488
Algeria,Middle East and North Africa,4.887,0.946,0.765,0.552,0.119
Ukraine,Commonwealth of Independent States,4.875,0.979,0.958,0.517,0.417
Iraq,Middle East and North Africa,4.854,0.91,0.638,0.381,0.302
Gabon,Sub-Saharan Africa,4.852,1.037,0.707,0.362,0.424
Burkina Faso,Sub-Saharan Africa,4.834,0.364,0.472,0.179,0.381
Cambodia,Southeast Asia,4.83,0.603,0.68,0.426,0.702
Mozambique,Sub-Saharan Africa,4.794,0.183,0.634,0.196,0.608
Nigeria,Sub-Saharan Africa,4.759,0.663,0.625,0.051,0.433
Mali,Sub-Saharan Africa,4.723,0.387,0.59,0.11,0.384
Iran,Middle East and North Africa,4.721,1.03,0.557,0.561,0.275
Uganda,Sub-Saharan Africa,4.636,0.364,0.718,0.24,0.398
Liberia,Sub-Saharan Africa,4.625,0.228,0.58,0.253,0.43
Kenya,Sub-Saharan Africa,4.607,0.603,0.508,0.385,0.483
Tunisia,Middle East and North Africa,4.596,0.919,0.515,0.59,0.334
Lebanon,Middle East and North Africa,4.584,1.045,0.868,0.595,0.175
Namibia,Sub-Saharan Africa,4.574,0.882,0.801,0.262,0.411
Palestinian Territories,Middle East and North Africa,4.517,0.646,0.819,0.434,0.33
Myanmar,Southeast Asia,4.426,0.666,0.713,0.341,0.601
Jordan,Middle East and North Africa,4.395,0.89,0.685,0.583,0.455
Chad,Sub-Saharan Africa,4.355,0.255,0.353,0,0.24
Sri Lanka,South Asia,4.325,0.99,0.82,0.593,0.559
Swaziland,Sub-Saharan Africa,4.308,0.849,0.693,0.074,0.323
Comoros,Sub-Saharan Africa,4.289,0.488,0.367,0.279,0.202
Egypt,Middle East and North Africa,4.283,0.954,0.647,0.426,0.446
Ethiopia,Sub-Saharan Africa,4.275,0.37,0.679,0.331,0.451
Mauritania,Sub-Saharan Africa,4.227,0.666,0.749,0.273,0.218
Madagascar,Sub-Saharan Africa,4.208,0.266,0.503,0.341,0.207
Togo,Sub-Saharan Africa,4.107,0.254,0.239,0.203,0.289
Zambia,Sub-Saharan Africa,4.073,0.528,0.552,0.231,0.487
Sierra Leone,Sub-Saharan Africa,3.849,0.279,0.377,0.1,0.408
India,South Asia,3.819,0.741,0.316,0.383,0.622
Burundi,Sub-Saharan Africa,3.775,0,0.062,0.155,0.298
Yemen,Middle East and North Africa,3.658,0.329,0.831,0.272,0.268
Tanzania,Sub-Saharan Africa,3.623,0.433,0.54,0.3,0.549
Haiti,Latin America and Caribbean,3.615,0.294,0.173,0.227,0.257
Malawi,Sub-Saharan Africa,3.6,0.113,0.168,0.298,0.484
Lesotho,Sub-Saharan Africa,3.512,0.451,0.731,0.007,0.405
Botswana,Sub-Saharan Africa,3.467,1.099,0.724,0.34,0.539
Rwanda,Sub-Saharan Africa,3.415,0.364,0.202,0.407,0.627
Zimbabwe,Sub-Saharan Africa,3.145,0.457,0.649,0.243,0.359
Afghanistan,South Asia,2.523,0.37,0,0.126,0
